CODE,AREA_HA,PROPORTION
556,1.3599999999999999,0.0001636011500198482
557,1.27,0.00015277460332735826
558,4.6899999999999995,0.0005641833776419765
559,1.3599999999999999,0.0001636011500198482
560,1.09,0.00013112150994237836
562,1.18,0.0001419480566348683
564,8.65,0.0010405514321115347
565,1.99,0.0002393869768672779
566,1.45,0.00017442769671233816
567,3.34,0.0004017851772546272
568,1.45,0.00017442769671233816
570,1.3599999999999999,0.0001636011500198482
572,1.54,0.00018525424340482812
573,1.54,0.00018525424340482812
575,1.9,0.00022856043017478793
577,1.18,0.0001419480566348683
579,3.52,0.0004234382706396071
582,4.779999999999999,0.0005750099243344664
583,1.09,0.00013112150994237836
584,1.18,0.0001419480566348683
585,1.45,0.00017442769671233816
587,2.17,0.0002610400702522578
589,21.7,0.002610400702522578
591,4.42,0.0005317037375645067
592,11.71,0.0014086540196561932
593,1.63,0.00019608079009731806
594,1.3599999999999999,0.0001636011500198482
595,7.84,0.000943112511879125
597,2.26,0.00027186661694474773
598,1.27,0.00015277460332735826
599,2.35,0.00028269316363723775
600,1.09,0.00013112150994237836
601,1.99,0.0002393869768672779
604,1.45,0.00017442769671233816
605,3.7,0.00044509136402458706
606,1.81,0.000217733883482298
607,1.45,0.00017442769671233816
608,1.9,0.00022856043017478793
609,1.09,0.00013112150994237836
610,1.09,0.00013112150994237836
611,1.54,0.00018525424340482812
612,5.86,0.000704928484644346
616,6.85,0.0008240204982617354
617,1.09,0.00013112150994237836
618,2.08,0.00025021352355976786
620,1.54,0.00018525424340482812
621,15.31,0.0018417158873557913
622,1.09,0.00013112150994237836
623,1.45,0.00017442769671233816
624,1.45,0.00017442769671233816
625,1.81,0.000217733883482298
627,2.08,0.00025021352355976786
628,6.49,0.0007807143114917757
629,3.34,0.0004017851772546272
630,6.85,0.0008240204982617354
631,2.8899999999999997,0.00034765244379217743
632,1.81,0.000217733883482298
633,1.54,0.00018525424340482812
634,60.85,0.007319948513755709
635,8.92,0.0010730310721890045
637,1.99,0.0002393869768672779
638,19.27,0.0023180839418253493
639,1.9,0.00022856043017478793
641,1.09,0.00013112150994237836
642,1.27,0.00015277460332735826
643,3.61,0.0004342648173320971
644,1.3599999999999999,0.0001636011500198482
645,2.71,0.00032599935040719755
646,1.09,0.00013112150994237836
648,2.44,0.00029351971032972766
649,1.54,0.00018525424340482812
651,1.09,0.00013112150994237836
652,1.09,0.00013112150994237836
653,1.09,0.00013112150994237836
654,37.63,0.0045266994670933
655,3.88,0.00046674445740956693
656,1.27,0.00015277460332735826
657,1.3599999999999999,0.0001636011500198482
658,1.54,0.00018525424340482812
659,1.63,0.00019608079009731806
660,1.09,0.00013112150994237836
662,1.27,0.00015277460332735826
663,1.27,0.00015277460332735826
664,5.68,0.0006832753912593661
665,2.08,0.00025021352355976786
668,1.27,0.00015277460332735826
669,1.54,0.00018525424340482812
670,1.18,0.0001419480566348683
671,3.25,0.0003909586305621373
673,3.43,0.0004126117239471172
674,1.3599999999999999,0.0001636011500198482
675,1.63,0.00019608079009731806
676,1.9,0.00022856043017478793
678,2.17,0.0002610400702522578
679,1.09,0.00013112150994237836
680,1.45,0.00017442769671233816
681,12.07,0.0014519602064261528
682,1.9,0.00022856043017478793
684,1.3599999999999999,0.0001636011500198482
685,1.81,0.000217733883482298
686,1.27,0.00015277460332735826
687,1.27,0.00015277460332735826
688,1.27,0.00015277460332735826
689,75.7,0.009106328718016551
690,1.72,0.00020690733678980803
691,4.0600000000000005,0.0004883975507945469
692,2.62,0.0003151728037147076
695,44.83,0.0053928232024924964
696,3.88,0.00046674445740956693
697,361.45,0.04348061446667216
699,8.11,0.0009755921519565948
701,1.18,0.0001419480566348683
702,2.8899999999999997,0.00034765244379217743
703,1.09,0.00013112150994237836
705,4.0600000000000005,0.0004883975507945469
706,1.3599999999999999,0.0001636011500198482
707,1.09,0.00013112150994237836
708,68.05,0.008186072249154904
709,1.09,0.00013112150994237836
710,7.75,0.000932285965186635
712,4.96,0.0005966630177194465
713,11.53,0.0013870009262712132
714,1.09,0.00013112150994237836
715,14.68,0.0017659300605083615
716,2.17,0.0002610400702522578
717,1.09,0.00013112150994237836
718,1.9,0.00022856043017478793
719,10.09,0.001213776179191374
720,5.05,0.0006074895644119364
721,5.95,0.0007157550313368359
723,5.05,0.0006074895644119364
724,9.55,0.0011488168990364343
726,1.72,0.00020690733678980803
727,1.45,0.00017442769671233816
728,3.43,0.0004126117239471172
731,1.18,0.0001419480566348683
732,1.72,0.00020690733678980803
734,1.27,0.00015277460332735826
735,11.62,0.001397827472963703
736,1.45,0.00017442769671233816
737,5.68,0.0006832753912593661
738,1.09,0.00013112150994237836
740,2.71,0.00032599935040719755
741,1.09,0.00013112150994237836
742,1.09,0.00013112150994237836
743,2.98,0.0003584789904846674
744,1.09,0.00013112150994237836
745,39.43,0.004743230400943099
746,2.98,0.0003584789904846674
748,1.54,0.00018525424340482812
752,1.54,0.00018525424340482812
755,2.5300000000000002,0.0003043462570222177
756,7.3,0.0008781532317241852
757,4.0600000000000005,0.0004883975507945469
760,1.3599999999999999,0.0001636011500198482
761,1.3599999999999999,0.0001636011500198482
762,2.62,0.0003151728037147076
763,32.769999999999996,0.003942065945698842
765,1.63,0.00019608079009731806
766,1.09,0.00013112150994237836
767,1.09,0.00013112150994237836
768,1.99,0.0002393869768672779
769,1.09,0.00013112150994237836
770,2.35,0.00028269316363723775
773,1.27,0.00015277460332735826
774,1.72,0.00020690733678980803
775,1.27,0.00015277460332735826
777,1.27,0.00015277460332735826
779,1.81,0.000217733883482298
783,2.26,0.00027186661694474773
784,1.45,0.00017442769671233816
788,36.55,0.00439678090678342
789,2.8899999999999997,0.00034765244379217743
790,2.35,0.00028269316363723775
792,1.27,0.00015277460332735826
800,1.27,0.00015277460332735826
802,1.09,0.00013112150994237836
803,1.09,0.00013112150994237836
807,2.17,0.0002610400702522578
808,1.3599999999999999,0.0001636011500198482
810,1.09,0.00013112150994237836
815,2.5300000000000002,0.0003043462570222177
